"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"France","FRA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","215400","211600","232500","230600","239100","246300","255700","256300","258000","262400","248400","254400","268600","241000","259900","261200","274400","314400","368200","393200","441700","408000","413700","459800","479000","482000","549900","667500","691800","748600","811776","777756","734679","695865","682263","728081","805731","825471","827851","771675","738003.426442238","754292","739353.599757151","641440","610197","607168","599427",
"Faroe Islands","FRO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","11200","11200","11000","11300","11200","11300","12700","12100","11600","11800","12000","12200","12600","13100","12600","12300","12300","12500","11000","10700","10400","11300","10800","10900","12000","12000","7100","10000","10100","7300","7445","7492","7474","7990","8342","8505","8524","9057","5654","5423","7516.15985130111","3002","1553","0","","2765","2305.256",
"United Kingdom","GBR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","441800","432200","435200","446300","429400","397100","409300","413300","462600","476900","477500","434000","433200","435600","457900","471700","498900","522900","573300","639100","670700","615500","654600","659400","684900","724800","772300","788900","801900","840800","876158","925638","924944","891154","970036","1018118","1037032","1044883","1056206","1003893","985109.023067177","1062692","1050702.90909091","1052640","1064175.7","1104796","1194199.37271923",
"Georgia","GEO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","1400","2500","1600","1600","3000","1906","1945","4239","5514","4451","4673","4861","5347","5487","5054","2803","3896","3326","2933","3317","3958.8","3199.525",
"Ghana","GHA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5000","5400","5700","5600","5700","5900","6100","6000","7000","7000","5600","5100","5300","4500","4400","5800","5500","7500","12300","11800","12600","19000","15100","3200","3400","3000","3300","3500","3500","5000","4873","5892","4382","3333","3333","","","","","","5645.66956713294","10683","14902","16560","16764","20539.476","21627.537",
"Gibraltar","GIB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2000","2000","2100","2200","2200","2300","2300","2300","2300","2300","2300","3500","3500","3500","3600","3600","500","900","900","900","1100","1100","700","700","1400","700","700","700","700","600","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","140","1788","1848","35.112","440",
"Guinea-Bissau","GNB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","300","300","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","1400","400","400","400","400","400","400","400","400","600","600","","","","","","","","","","","","717.170923379175","2808","8201","19416","14136","22350.1795229667","22463.905",
"Greece","GRC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","34100","39800","44500","48500","38000","42600","50600","49400","55600","57300","50300","49700","53900","58800","71600","77000","75800","78600","79200","80100","79600","69800","79200","86200","86600","89200","92400","94200","90700","94100","108584","125269","113247","114100","137676","130515","133226","137697","128287","112671","136382.257932753","125477.119829729","111870","103800","134160","124017.396","141694.055",
"Grenada","GRD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","8200","8300","1800","3200","3700","4500","5000","4400","4300","3200","3100","3100","2000","2000","2200","1800","2100","2100","2300","3400","3400","4500","4600","4600","5100","5100","6400","6500","","","","","","","","","","","","8875","9148","8091","2556","2214","3012","3102",
"Guam","GUM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12139","11470","","","","","","","",
"Guyana","GUY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4200","4200","4300","4400","4500","5000","5200","5200","5200","5200","6400","7100","7000","6700","6700","4500","4500","4300","3800","3800","3300","3300","3300","3300","3500","3600","3600","3600","500","418","276","","","","","","","","","9351","12231","8625","0","0","0","",
"High income","HIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7994400","8137100","8119500","8248200","7677400","7546100","7755700","8119000","8337000","8654100","8621800","8173500","8133300","8402800","8904500","9403500","10141800","10614700","11186000","11310600","11818700","11611600","12004300","12099600","13223100","13961100","14783300","15238800","15373300","16324700.0009766","17618901","17413735","16105702","16647569","18455298","18611057","18723693","19273853","18645261","18853843","20548489.2262139","20754837.5755899","20436951.9635401","20371151.9738634","20388898.3822495","20666127.0272856","21264693.6652805",
"Hong Kong SAR, China","HKG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124500","147100","167200","181500","193700","195200","224800","234700","72400","79182","85003","91096","87070","111136","122705","130014","141372","144039","149809","158255","173112","185506.37822568","199639","215562","228582","235385.17",
"Honduras","HND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","21300","20600","17800","18000","17800","15900","14600","13900","15500","17200","19500","13200","13600","12100","11300","11800","8100","11300","14700","15100","17100","12500","11800","13700","","","","","","","","","","","","","","","","","21574","18287","16760","26796","24216","26029.628","25350.742",
"Heavily indebted poor countries (HIPC)","HPC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","187100","186500","178200","180600","174400","200500","210200","188500","198400","206900","209300","207700","200600","198200","198600","192800","176500","178500","183300","180200","178500","174100","163700","149400","143800","137800","154100","159000","152500","145800","143612","137114","","","","","","","","","266822.28924497","307977.717076074","311610.290559514","329263.772","346254.152913158","342716.77211595","342574.5876",
"Croatia","HRV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","4100","9200","12000","13300","15000","16700","16800","15900","16955","18258","19340","19751","20482","22031","21641","22391","24728","24613","24766","26743","26456","24305","25161","25183","26171",
"Haiti","HTI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3200","3200","3200","3400","700","700","700","700","700","700","700","800","800","800","800","800","800","800","800","800","800","800","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6200","3200","3000","3800","4500","4000","4300","11800","13700","15500","15600","16100","16600","15700","17000","17200","17100","17300","16200","17500","18900","16600","19800","23100","20900","21600","24900","25700","27500","30200","32297","31654","33290","40233","46837","47362","45781","51003","49795","45861","111307","120826.212389811","88801.8316511268","103080","123708","145480.608","137605",
"IBRD only","IBD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1357400","1430700","1511700","1524500","1546800","1685200","1747600","1773400","1902400","2057600","2176200","2182400","2242000","2323700","2381200","2401500","2457100","2451700","2629200","3682600","3760200","3861400","3977200","4116600","4093600","4226500","4201662","4709478","4594379","4525972","5117588","5442097","5935212","6530752","6683545","7059839","8640012.38679317","9295547.40710961","9825887.81990848","10529264.0930701","11360427.0911185","11991225.2283236","12625060.6521822",
"IDA & IBRD total","IBT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1633000","1758800","1870400","1860200","1901500","2057600","2146700","2175500","2292700","2453300","2613400","2625500","2679900","2770000","2838600","2855700","2909000","2899700","3071500","4074900","4200900","4267900","4394400","4539500","4528100","4649100","4634347","5121901","4965837","4891195","5519366","5846449","6352567","6990994","7102413","7497275","9337292.29327892","10080702.7251443","10601539.9596992","11372493.9083087","12224523.2565784","12852969.0438399","13500023.0691827",
"IDA total","IDA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","294200","289400","273000","294700","275600","328100","358700","335700","354700","372400","399100","402100","390300","395700","437200","443100","437900","446300","457400","454200","451900","448000","442300","392300","440700","406500","417200","422900","434500","422600","432685","412423","371458","365223","401778","404352","417355","460242","418868","437436","697279.906485754","785155.318034697","775652.139790678","843229.815238617","864096.165459868","861743.815516293","874962.41700055",
"IDA blend","IDB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","82100","73100","63500","70100","55500","89700","101100","107900","117900","125100","138000","133800","124700","132000","170600","182800","181500","186700","188700","193000","187100","190500","195600","157600","202700","173500","169200","195600","194900","207900","211716","200267","167770","160186","168768","174055","187852","195079","184521","182837","294945.333632891","328674.631471241","332312.989534517","338536","308894.014419076","322260.36","324771.315242974",
"Indonesia","IDN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","23500","24000","34200","42500","64800","74100","91600","105500","115300","120400","124800","142600","145300","143400","183000","185800","181500","190600","206100","193200","205400","215700","236900","227200","230500","262200","311200","194700","196700","135000","159027","164651","152278","155609","318488","320724","357414","357789","345240","330112","520932.081983182","599692.276092406","641182.300723356","576000","675005.895378656","682387.753155657","762715.149",
"IDA only","IDX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","212100","216300","209500","224600","220100","238400","257600","227800","236800","247300","261100","268300","265600","263700","266600","260300","256400","259600","268700","261200","264800","257500","246700","234700","238000","233000","248000","227300","239600","214700","220969","212156","203688","205037","233010","230297","229503","265163","234347","","402334.572852863","456480.686563456","443339.150256162","504693.815238617","555202.151040793","539483.455516293","550191.101757576",
"Isle of Man","IMN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","97500","64700","96600","94300","69000","90600","94700","99000","105300","100100","100000","104600","106500","113500","120400","139900","151000","159500","157600","156300","125800","117500","120300","105300","130100","168400","151300","182500","196100","180500","198426","206690","231413","263870","302790","330484","453921","569033","592292","601977","623196.778558652","695626","678125.937793064","689094","724541.12","787998","917625",
"Not classified","INX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","29000","27500","25200","25700","27500","25800","27100","27400","27700","31100","28400","27700","26600","26300","30800","32500","33500","36600","61400","73000","79500","82400","76700","69000","70300","84000","95000","107200","122700","132700","145457","156277","177032","231296","261345","303697","350204","416205","483741","528098","601262","635065","648817.651510641","641412","658512","710114","780127.56",
"Iran, Islamic Rep.","IRN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","17100","18800","19300","22200","25100","32000","38300","41900","41100","23000","18600","11600","24900","30900","36900","27200","35200","34500","31000","36500","39900","41500","37700","41600","46500","48600","63300","83400","79600","75900","82610","141396","92621","138537","109706","121235","136075","137645","122226","133932","158014.183450955","161191.677604321","153142.822223706","161029","162563.374175832","156413.670175596","162238.499455",
"Iraq","IRQ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5300","5800","6500","7300","7700","7300","8600","10100","10400","10400","8800","5500","6500","7400","6700","7900","8400","8400","12400","12600","7800","200","500","","300","","","","","","","","","","","","","","","","7692","9697","8993","4332","4332","4436.35957979075","4467.262",
"Iceland","ISL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10700","11300","12500","13800","13800","14600","13200","14200","14500","14800","15000","15000","16400","15800","16200","18000","16700","18600","18400","17600","18300","17700","16900","17300","18700","19200","21600","21100","21700","14700","12589","11728","9989","9750","10832","11803","12785","14064","12431","12924","21668.3164735801","24488","26469","26643","28979","35466","45634.185",
"Israel","ISR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9700","19800","20600","20000","19700","8400","9200","10100","19100","18900","18500","19200","18500","18500","21100","22500","22700","21800","27800","29600","29500","29900","39100","41900","44200","48000","50000","51400","50100","51600","56427","47648","49404","46334","34152","34104","36257","47038","45309","47856","47829","47195","47073.827458256","46644","49177","50006","48596",
"Italy","ITA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","183500","196300","204800","184900","185100","171700","171100","166900","159700","160700","162500","152800","158900","160700","161100","174700","172400","180100","189700","214200","229400","231500","261400","265300","268900","280000","306800","321400","338200","358900","367584","393484","350552","385911","382317","445968","447749","431647","382590","382897","335280","328771.58001328","306320.503320053","258027","264899","266201.773126097","271823.499",
"Jamaica","JAM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","18600","19500","21500","13700","16100","12600","23800","19800","20100","21100","20700","19500","20000","29200","26500","27700","21600","24000","23300","25200","21300","20900","20000","20000","18700","17000","18300","12300","12500","20600","16577","24440","23343","23976","23338","21787","21133","22401","22894","16840","0","0","0","492","953","997","1128",
"Jordan","JOR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4200","4400","4100","4500","5600","7000","8700","9300","10400","11900","14000","16500","17100","16200","15500","15200","14800","15000","15500","17400","14100","11000","14300","15500","16000","16800","17100","16700","15400","15900","16447","15893","16369","15354","17958","19689","26546","29415","30804","32490","39318.7915976253","40329.1978021978","39468","38998","38386","36622","38161",
"Japan","JPN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","277300","395100","298700","311800","320700","312700","321200","345900","369600","388500","396500","416600","417500","414300","416100","417800","433300","441500","465400","468300","476000","495800","473000","474400","489300","535900","564000","573300","636500","661800","645087","640328","647953","639866","638430","651858","670252","656917","655495","641913","934487.439462563","812928","874677","915542.658","927666","956015.777138638","984302.808827844",
"Kazakhstan","KAZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5900","5900","20900","10300","10300","10400","9100","8041","8398","15426","19560","11754","17302","19160","19138","19229","18832","33483","40916","44580","66108","71220","72485.484","73187.711",
"Kenya","KEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10100","8900","9900","8000","12200","14500","6400","8600","8500","9300","9100","7400","8900","10100","11100","11800","12000","11700","12100","13000","11700","13200","13900","13200","13500","14400","19600","19800","25100","29080","24741","25873","27057","26218","28399","29039","32329","32045","33593","78265","84955","82576","98244","90625","93480.352","93431.006",
"Kyrgyz Republic","KGZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10400","10400","11600","13300","10400","15300","8300","6051","4942","3951","4810","5550","5228","4730","4916","3567","5459","7371","9274","7719","12189","17388","16826.193","17903.779",
"Cambodia","KHM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1300","4400","3900","4100","3800","3400","3400","3400","","","","","","","","","","","","","","","","","","","","","","","","","4648","4512","3893","3207","3998","4324","3667","3304","5104.72222222222","7191","7432","11897.0432386171","14732","12983","11933",
"Kiribati","KIR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","6600","6600","6700","7100","4200","3400","3000","3000","3000","2900","2900","2900","2900","2900","3000","3100","3100","3200","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","16000","38100","39100","39700","33100","29400","27500","30300","34000","39800","37100","34900","38900","41700","47900","49100","53100","59100","69200","143600","120100","120100","141000","163500","170300","188900","207300","229300","207900","204000","226910","228442","238649","240942","232077","221424","223735","243113","250260","256160","280427","282239","285000","360356","368132","392926.006","433525.004",
"Kuwait","KWT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6700","6800","6800","7000","7600","8400","9700","11600","12500","12500","12900","13400","13300","14600","14700","14200","14300","14300","15000","15600","10000","7200","14300","16200","17200","17900","19400","17200","18700","17300","17486","16682","18929","17833","19512","19142","20673","17685","17999","18191","41848","31753","28814","27305","26610","30073","32875.636",
"Latin America & Caribbean (excluding high income)","LAC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","668100","636600","656300","671200","703600","726100","747800","731100","750500","839900","908900","870300","955800","1049200","1082100","1041200","1051300","1075300","1054500","1076500","1087700","1098100","1126100","1200700","1245400","1249500","1320900","1518800","1585600","1762500","1620606","1695097","1556984","1363012","1417133","1479781","1518032","1646413","1606154","1661123","2099562.68762511","2205834.14627181","2323802.07060321","2482031.41507694","2580121.99664724","2660158.74145558","2576298.99896626",
"Lao PDR","LAO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3100","2300","2400","2500","2400","2400","2400","1800","400","400","400","400","400","400","500","500","1500","2000","2000","2100","3400","3400","3700","3700","3700","3900","3900","3900","3900","6300","6411","6652","6971","7068","8413","9002","9959","9957","10007","9793","11374","12262","15836.1286311187","16944","12732","9771.81564781345","9985.356",
"Lebanon","LBN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","20200","20800","21400","22700","23800","22400","23500","21400","22800","23000","22500","19400","15200","19000","13000","11100","8200","8500","11300","6800","10300","9300","10000","9400","9900","10900","9700","10300","10100","10100","10435","10317","10808","10819","11807","12013","11274","12172","12306","13532","19882","21306","21880","23568","23580","24066","24549",
"Liberia","LBR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1400","1400","1400","1500","1500","1700","1800","7100","7600","8000","6000","2800","2800","2800","2900","2900","2300","2200","2200","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6200","6600","7400","8400","8800","9500","9800","11100","11100","11600","12200","13400","14900","16500","16700","16600","15400","14400","16400","17000","18200","19000","14400","9100","7100","5800","6100","6000","6000","6100","6194","5884","5884","6414","8042","13335","12657","13477","9930","9812","34878.0771737788","27770.5020633663","16514.4315772057","32064","26414","13297.5537740329","10763.2036666667",
"St. Lucia","LCA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","712300","681000","695500","706800","743800","781500","804400","786700","801600","907000","983000","943200","1056500","1149700","1188600","1171500","1192600","1214500","1198200","1220900","1231900","1250000","1287400","1380200","1442900","1462700","1532800","1727100","1806500","1985500","1838871","1916893","1756505","1562182","1584616","1656212","1695244","1833458","1800913","1838212","2303571.68762511","2431147.82405656","2549816.18361562","2732986.41507694","2840587.99664724","2900399.07345558","2817736.47870626",
"Least developed countries: UN classification","LDC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","168900","173200","167600","178100","170500","189900","211000","187300","193800","210100","225400","235300","232400","241500","233500","233200","228900","222300","224700","210200","209300","199600","193900","185500","195300","187500","198100","187400","185400","161600","170335","164604","156854","159470","180304","187173","188247","217552","185775","202446","351440.234369991","394605.2789404","391789.929869241","448045.815238617","457116.151040793","432812.560516293","437365.544",
"Low income","LIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","134400","136200","121800","119800","106300","124200","137200","119500","124600","131900","150200","154400","147700","145400","150900","148300","140000","134900","139800","135600","130900","131100","127400","122000","129500","128300","130400","136800","128300","109100","110422","101531","","","","","","","","","210665.286044946","239684.883729175","239289.482880032","271215.772","239047.491289755","234074.126975273","234852.634922917",
"Liechtenstein","LIE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4400","5200","4400","2900","4200","4400","4000","5300","3100","1700","3800","4100","3500","5400","5900","6700","5800","5800","6100","6900","7900","8200","9100","8900","8900","8900","8800","8800","9300","10100","5206","11386","10480","12603","18699","19712","20979","21020","20512","16632","20921","26052","31373","32636.4","37517","37598","40711.2",
"Lower middle income","LMC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","490000","410000","436200","462800","455100","521400","568700","589700","614600","637300","636300","665600","657300","695800","762400","797300","806300","839700","869000","860600","837500","826300","916200","845300","913800","973700","1037700","978900","991900","909800","964645","977774","961990","1015520","1268354","1321800","1518530","1663646","1699652","1718993","2368808.67466773","2611202.90396901","2658980.79106858","2622509.85023862","2904193.56211066","3016695.16902158","3335953.10409515",
"Low & middle income","LMY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1577500","1698600","1807200","1796900","1846700","1999300","2083100","2096600","2202500","2355900","2499500","2494400","2535200","2630100","2694900","2710500","2765200","2749300","2914500","3886600","3995800","4047100","4170300","4307800","4279900","4411900","4389757","4850485","4711687","4635048","5297318","5617908","6119473","6742158","6852832","7268680","9089440.3143144","9810140.51959184","10334432.6225393","11093246.9083087","11950883.5968274","12605647.8018399","13220254.0727356",
"Lesotho","LSO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","900","900","1000","1000","3300","4900","3100","3100","4600","3000","3100","4700","4800","3900","2200","4600","4600","4600","1900","1100","2400","1800","1400","700","2100","200","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","672000","691200","713800","700700","706900","790300","823400","810300","900600","961300","1045600","1063300","1115500","1170500","1268600","1287600","1377800","1424700","1469600","2465000","2479800","2582100","2622800","2735700","2732000","2853000.00097656","2828120","3197261","3283798","3218826","3665061","3816401","4169909","4686224","4927058","5504592","6378364.18016845","6944807.87452965","7381815.76070265","7908184.58275688","8471671.02738129","8969942.61173349","9381897.27013666",
"Lithuania","LTU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4700","4800","6500","6600","6600","8100","9700","11100","10197","10418","9613","9839","11224","11930","11059","10823","12238","11633","4972.63491038269","7122","11874","9900","12622","12198.968","9320",
"Luxembourg","LUX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7100","9100","8200","7500","7900","8000","8200","8300","8600","8600","6000","6200","7300","6900","7500","7900","9200","10300","10400","10600","12300","13200","15200","15300","18900","7300","8200","23200","24600","29900","34007","38239","25102","40831","42447","42304","43777","47209","47639","51932","38716","38937","43021","44059","47215","48569","48255",
"Latvia","LVA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","4700","5400","5200","10900","8200","9900","9100","9816","9508","9364","10360","16159","23112","29067","28182","28915","27123","54589","54241","46732","43836","42107","41734","42718",
"Macao SAR, China","MAC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11673","14161","15378","14355","21126","23572","25154","25016","19009","14258","13411","14368","15890","17859","20158","21472","23574",
"St. Martin (French part)","MAF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10100","12900","12800","16800","17200","19500","24500","25200","25000","24400","14800","17200","8700","17800","13700","11600","12200","12600","13600","14100","27100","18600","25800","37400","34500","32700","32000","35100","40100","43900","44542","44262","37160","35937","41526","48651","55239","68847","61298","62037","75306","69940.912476723","61161.3007019091","68700","72345","75044","80084.845",
"Monaco","MCO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","5800","5800","5800","5800","9400","9400","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12500","12700","28900","31479","29905","14959","14024","12022","12249","14092","15170","13071","10351","10067","10603","11034.5454545454","10956","10928.727","10728","611.496",
"Moldova","MDA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3400","3800","1600","3300","1100","3682","3866","3862","4333","4657","4392","4248","4654","4933","5047","6571","7147","6560","7500","8400","8739","8602.909",
"Madagascar","MDG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","17600","17600","16200","16000","16500","16600","20500","23100","24300","23900","24500","21000","15100","15000","16500","16200","15600","15700","16100","15300","17200","14300","15300","16900","16200","17800","17200","16800","18300","18600","20491","20129","9433","17202","18016","17911","14142","37310","11861","9566","11714","12332.7272727273","13267","9451","10385","8852","7230",
"Maldives","MDV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","300","500","600","700","700","800","500","500","500","500","800","900","700","700","700","800","800","800","800","2600","4000","4100","3300","6000","4400","5970","3286","3417","3520","4224","4520","5108","5006","5006","4971","","","","","26849","31472","33006",
"Middle East & North Africa","MEA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","157700","174900","184900","201500","232400","242100","284900","311300","341300","341700","353100","361800","357800","389900","394100","382900","389900","381200","406400","414200","415100","385000","441300","467800","491800","483000","519600","545200","535600","571700","613217","665244","621484","683657","701240","590992","648841","707006","680702","1003079","1267722.28423836","1292819.15016265","1353694.09193799","1427157.5","1501061.14161639","1539679.33861912","1643771.51633128",
